pixel,percent
0,72
1,72
2,72.1
3,72.2
4,72.2
5,72.3
6,72.3
7,72.4
8,72.4
9,72.5
10,72.6
11,72.6
12,72.7
13,72.7
14,72.8
15,72.8
16,72.9
17,72.9
18,73
19,73
20,73.1
21,73.1
22,73.2
23,73.2
24,73.2
25,73.3
26,73.3
27,73.4
28,73.4
29,73.5
30,73.5
31,73.5
32,73.6
33,73.6
34,73.7
35,73.7
36,73.7
37,73.8
38,73.8
39,73.9
40,73.9
41,73.9
42,74
43,74
44,74.1
45,74.1
46,74.1
47,74.2
48,74.2
49,74.2
50,74.3
51,74.3
52,74.4
53,74.4
54,74.4
55,74.5
56,74.5
57,74.5
58,74.6
59,74.6
60,74.6
61,74.7
62,74.7
63,74.8
64,74.8
65,74.8
66,74.9
67,74.9
68,74.9
69,75
70,75
71,75
72,75.1
73,75.1
74,75.2
75,75.2
76,75.2
77,75.3
78,75.3
79,75.3
80,75.4
81,75.4
82,75.5
83,75.5
84,75.5
85,75.6
86,75.6
87,75.6
88,75.7
89,75.7
90,75.8
91,75.8
92,75.8
93,75.9
94,75.9
95,76
96,76
97,76
98,76.1
99,76.1
100,76.2
101,76.2
102,76.2
103,76.3
104,76.3
105,76.4
106,76.4
107,76.5
108,76.5
109,76.5
110,76.6
111,76.6
112,76.7
113,76.7
114,76.8
115,76.8
116,76.9
117,76.9
118,76.9
119,77
120,77
121,77.1
122,77.1
123,77.2
124,77.2
125,77.3
126,77.3
127,77.4
128,77.4
129,77.5
130,77.5
131,77.6
132,77.6
133,77.7
134,77.7
135,77.8
136,77.8
137,77.9
138,77.9
139,78
140,78
141,78.1
142,78.1
143,78.2
144,78.2
145,78.3
146,78.3
147,78.4
148,78.4
149,78.5
150,78.6
151,78.6
152,78.7
153,78.7
154,78.8
155,78.8
156,78.9
157,78.9
158,79
159,79.1
160,79.1
161,79.2
162,79.2
163,79.3
164,79.3
165,79.4
166,79.5
167,79.5
168,79.6
169,79.6
170,79.7
171,79.8
172,79.8
173,79.9
174,79.9
175,80
176,80.1
177,80.1
178,80.2
179,80.2
180,80.3
181,80.4
182,80.4
183,80.5
184,80.6
185,80.6
186,80.7
187,80.7
188,80.8
189,80.9
190,80.9
191,81
192,81.1
193,81.1
194,81.2
195,81.3
196,81.3
197,81.4
198,81.5
199,81.5
200,81.6
201,81.6
202,81.7
203,81.8
204,81.8
205,81.9
206,82
207,82
208,82.1
209,82.2
210,82.2
211,82.3
212,82.4
213,82.4
214,82.5
215,82.6
216,82.6
217,82.7
218,82.8
219,82.8
220,82.9
221,83
222,83
223,83.1
224,83.2
225,83.2
226,83.3
227,83.4
228,83.5
229,83.5
230,83.6
231,83.7
232,83.7
233,83.8
234,83.9
235,83.9
236,84
237,84.1
238,84.1
239,84.2
240,84.3
241,84.3
242,84.4
243,84.5
244,84.5
245,84.6
246,84.7
247,84.7
248,84.8
249,84.9
250,84.9
251,85
252,85.1
253,85.2
254,85.2
255,85.3
256,85.4
257,85.4
258,85.5
259,85.6
260,85.6
261,85.7
262,85.8
263,85.8
264,85.9
265,86
266,86
267,86.1
268,86.2
269,86.2
270,86.3
271,86.4
272,86.4
273,86.5
274,86.6
275,86.6
276,86.7
277,86.7
278,86.8
279,86.9
280,86.9
281,87
282,87.1
283,87.1
284,87.2
285,87.3
286,87.3
287,87.4
288,87.5
289,87.5
290,87.6
291,87.6
292,87.7
